Date,Entry,SL,Target,Exit,Exit Date,Return
2022-02-15,650.0,623.6749877929688,702.6500244140625,623.6749877929688,2022-02-15,-4.0500018780048075
2022-02-23,637.0,613.0999755859375,671.300048828125,613.0999755859375,2022-02-24,-3.7519661560537676
2022-03-08,548.9749755859375,525.9249877929688,595.074951171875,525.5,2022-03-08,-4.276146751658754
2022-03-09,555.0,525.0,609.2999267578125,609.2999267578125,2022-03-23,9.783770586993242
2022-04-26,692.5999755859375,670.4249877929688,736.949951171875,670.4249877929688,2022-04-27,-3.20170207545976
2022-05-13,645.0,608.4000244140625,688.1248779296875,608.4000244140625,2022-06-09,-5.674414819525194
2022-06-14,594.9500122070312,580.0999755859375,624.6500854492188,579.2000122070312,2022-06-14,-2.647281229825288
2022-06-23,609.2999877929688,595.5499877929688,636.7999877929688,595.5499877929688,2022-06-23,-2.2566880478376192
2022-07-06,572.7999877929688,554.0,610.3999633789062,554.0,2022-07-14,-3.2821208438579377
2022-09-20,661.1500244140625,644.0999755859375,695.2501220703125,644.0999755859375,2022-09-23,-2.5788471902780965
2022-10-14,590.0,578.0999755859375,604.5001220703125,604.5001220703125,2022-10-14,2.4576478085275424
