Date,Entry,SL,Target,Exit,Exit Date,Return
2022-02-15,1589.0,1545.0999755859375,1676.1851806640625,1530.0,2022-02-22,-3.7130270610446825
2022-03-09,1452.5,1395.10498046875,1567.2900390625,1567.2900390625,2022-03-10,7.902928679001721
2022-04-21,1579.9949951171875,1532.3299560546875,1675.3250732421875,1532.3299560546875,2022-04-25,-3.016784180317274
2022-04-26,1555.0,1520.0,1580.0,1520.0,2022-04-27,-2.2508038585209005
2022-05-17,1277.8699951171875,1245.0,1343.6099853515625,1245.0,2022-05-19,-2.572248761046553
2022-05-20,1263.9000244140625,1217.3800048828125,1330.8248291015625,1217.3800048828125,2022-05-26,-3.6806724133751354
2022-06-08,1244.9949951171875,1223.2349853515625,1288.5150146484375,1223.2349853515625,2022-06-10,-1.747798975173936
2022-06-15,1157.7650146484375,1126.5050048828125,1220.2850341796875,1120.0,2022-06-29,-3.2618894309831155
2022-07-01,1119.5999755859375,1090.9000244140625,1176.9998779296875,1090.9000244140625,2022-07-01,-2.5634112002239915
2022-08-30,1639.0,1571.0999755859375,1714.800048828125,1714.800048828125,2022-09-01,4.624774181093655
2022-10-31,1665.0,1635.0,1711.5,1711.5,2022-11-01,2.7927927927927927
