Date,Entry,SL,Target,Exit,Exit Date,Return
2022-02-09,1735.0,1696.0,1783.0,1690.0,2022-02-14,-2.5936599423631126
2022-02-15,1718.550048828125,1678.25,1799.150146484375,1678.25,2022-02-24,-2.3450029200840268
2022-04-21,1596.300048828125,1563.0,1662.900146484375,1563.0,2022-04-25,-2.0860770412536924
2022-04-26,1577.199951171875,1554.0999755859375,1610.2001953125,1554.0999755859375,2022-04-27,-1.4646193444765194
2022-04-28,1572.75,1550.3499755859375,1617.550048828125,1550.3499755859375,2022-05-02,-1.4242584272174534
2022-05-17,1511.8499755859375,1478.6500244140625,1578.2498779296875,1478.6500244140625,2022-05-19,-2.1959818571950516
2022-05-23,1466.75,1446.699951171875,1506.85009765625,1446.699951171875,2022-05-24,-1.3669711149224475
2022-05-27,1443.949951171875,1407.050048828125,1475.89990234375,1487.0,2022-05-30,2.981408655693822
2022-06-20,1396.949951171875,1367.1500244140625,1456.5498046875,1456.5498046875,2022-06-22,4.266427259303585
2022-07-28,1496.4000244140625,1445.0,1529.0,1532.800048828125,2022-07-29,2.4325062697266038
2022-08-30,1473.0999755859375,1450.0,1505.650146484375,1450.0,2022-09-02,-1.5681200168881475
