Date,Entry,SL,Target,Exit,Exit Date,Return
2022-01-04,227.4499969482422,216.64999389648438,216.64999389648438,227.4499969482422,2022-01-04,0.0
2022-01-05,227.4499969482422,205.85000610351562,270.6499786376953,276.3500061035156,2022-01-10,21.499234913773584
2022-02-02,148.8000030517578,141.75,141.75,148.8000030517578,2022-02-02,0.0
2022-02-03,156.1999969482422,148.8000030517578,148.8000030517578,156.1999969482422,2022-02-03,0.0
2022-02-17,147.0,140.0,161.0,140.0,2022-02-17,-4.761904761904762
2022-02-28,112.0,112.0,112.0,112.0,2022-02-28,0.0
2022-03-10,103.0999984741211,90.5,113.59999084472656,113.59999084472656,2022-03-14,10.184279850635544
2022-04-21,172.9499969482422,159.0500030517578,191.74998474121094,156.0,2022-04-26,-9.80051879001462
2022-05-05,132.0,126.1500015258789,143.6999969482422,124.19999694824219,2022-05-05,-5.909093221028646
2022-05-17,127.4000015258789,117.0,141.59999084472656,117.0,2022-05-26,-8.163266406057572
2022-05-27,120.0,111.5,137.0,137.0,2022-06-10,14.166666666666666
2022-08-30,93.80000305175781,88.19999694824219,105.00001525878906,105.00001525878906,2022-08-30,11.94031113288046
2022-09-22,113.80000305175781,108.30000305175781,124.80000305175781,108.30000305175781,2022-09-22,-4.833040292185689
